col0 col1 col2 col3 col4 col5 col6 col7 col8 col9 col10 col11 col12 col13 col14 col15 col16 col17 col18 col19 col20 col21 col22 col23 col24 col25 col26 col27 col28 col29 col30 col31 col32 col33 col34 col35 col36 col37 col38 col39 col40 col41 col42 col43 col44 col45 col46 col47 col48 col49 col50 col51 col52 col53
58829.32377315 1.274 122816.96585548413 122840.97864231514 589805.4773544538 2293824.3910867134 16726.284015803423 52707.391178722144 37600.45804940333 56338.29156109458 76589.07137917564 57000.00373420789 28335.250321564206 417824.20290762105 38700.379707178916 192274.37786120392 59095.2841641978 65995.69238041452 5777864.125764683 49062.00014833012 122616.75337553077 64919.797560172214 341082.868888628 37518.52675942128 376283.13286932494 503138.66604318656 19244.74619119009 164791.37551797286 166.22379304251623 166.01398564214784 585.7253951073146 1391.301327129812 25.144731684283308 76.25942778128938 55.33862145336471 80.93047753220816 108.07689515181195 81.95177263183736 42.25107628077832 455.76293960404234 56.88253924037404 244.70685997956252 85.07058284229309 94.14108071248073 2316.7508175090197 71.28384388834064 166.17512932644473 96.07199794305573 390.1215441695085 55.90395839767194 440.3984715766158 522.9513505929157 28.98331780767901 243.6853593821004
58829.32461806 1.27 122511.12152975408 123068.54455446266 586990.9034440112 2686499.2776202564 16534.290569842735 52476.139940023015 37328.719113669824 55786.150963918306 75563.15615059959 55901.193344161555 31094.490770637873 414965.97949684126 37967.36133029597 190161.115297053 58495.09148591373 65915.71169777936 7520721.032112186 45368.1131104377 122473.80477224238 57829.421249277366 339965.0188941936 41346.34258979623 383881.99011713493 500148.49054451124 19302.072125579172 146002.35169655137 166.01602215632573 166.51703549419497 584.0195170713572 1523.385552157036 24.863469860924667 76.0299153112087 55.03817190521382 80.24989722285433 106.81784553966578 80.57096656753244 46.26242590218237 453.6564928208794 55.9166217580844 242.56668342627918 84.31777888235268 94.12425462785747 2665.499713284618 66.07637005157466 166.09741030858015 85.70172771080352 389.42938328876465 61.74911435564533 449.86868702346044 520.7925817284294 29.102154576814243 215.93636166870326
58829.32546296 1.265 121764.50954304251 122103.3439646578 587743.0884744583 2610018.985508303 16741.789098692185 52668.595280005364 36647.42132531031 56922.91012867866 75185.22825950693 56183.538383512525 28306.117318775796 414729.16816566983 38232.91298637347 189669.90831695113 58046.67916430038 68122.7757246918 7125614.924638562 47979.746780760586 122840.23699816939 52236.85427321115 341287.6733148137 47755.643824524595 393040.45624886476 501601.87085183396 19754.09723303176 132447.64271741058 165.26851115772644 165.44439358835908 584.8420232669738 1498.837313436841 25.207931896252255 76.37943833270599 54.13027169893417 81.89345971521875 106.41790138966617 81.02356685471004 42.298386780782444 453.7377891237365 56.35023183707605 242.29723747484226 83.82795189347668 97.16284731905874 2590.746950656705 69.95071187155034 166.69806965558766 77.50639333952356 390.91479936576707 71.34407452723634 460.7577497682892 522.1658918355415 29.810244170621843 196.32283236888122
58829.32630787 1.261 122199.39598876552 122810.69263605913 587394.6698534389 2428506.661962158 16715.03937135893 52789.71840237104 37065.016656736145 55690.89530616987 78312.91938424658 55684.960682466975 28048.474569307524 415097.09793130204 38491.44075192092 189316.04903900222 58464.914622771204 65885.34385144745 6508758.821076931 47061.482061146584 122753.40423578833 42941.30836016004 340829.94554716087 53809.86234536412 402621.1944174928 501318.60056040477 18985.904718878446 154006.32020421163 166.09624610743438 166.66454104801096 585.173242052104 1438.8175167000363 25.22621043364346 76.6942063654859 54.831979447129605 80.35795340654425 110.71621372242204 80.5344396877471 42.02618521473084 454.54000264382597 56.84265378514603 242.280770880557 84.55804380653208 94.36542988280846 2469.5047498463578 68.77935734841846 166.89167988586885 63.83923542301905 390.91345326320373 80.65576874804336 472.37626251377947 522.6084777730746 28.727241211860076 228.92150451841752
58829.32715278 1.257 122531.0442542159 122402.47720589786 587371.7363944715 2636012.8287931755 16169.403121637937 52622.078758523276 37495.47559450945 57086.50199747825 76788.49470901996 57134.57182423625 27471.53351124085 415454.34229181043 38400.60525777022 190005.64440616086 58994.77876227646 66109.5681067537 7043440.270086659 48337.82402881002 122979.07707603351 36432.35957523098 340446.382469983 67582.12064340775 414369.20058152376 501985.0916135916 19295.97076416039 141173.67475057987 166.62653477196554 166.26506045268917 585.3510420078268 1507.992691430834 24.448114849798902 76.54574641954875 55.48317813194694 82.33876734750176 108.84904799126271 82.53597584323504 41.21844956253675 455.1171468368932 56.78995753430966 243.20539708504927 85.34953689898579 94.76203231476543 2575.344343905701 70.64884777497899 167.39733141802014 54.24156569787231 390.8325715176238 101.3256173353763 486.57480651455063 523.2467601059025 29.215037712936603 209.89966013350454
58829.32799768 1.253 121759.29017618753 122987.1135018135 585451.6985959611 2658704.2221021997 17483.74916946073 53109.38709959586 37786.8859920876 56705.889606370416 75875.67799875193 55921.230118961656 27943.163240895374 413799.04233818955 39068.546704179666 189794.66422627674 58549.35414013371 66346.00389909936 7679928.889269167 48024.107972873666 122828.65523910453 34012.87230873003 338420.0050362875 75915.37414371903 419587.96836070996 499704.00002890336 18972.8080128266 146622.36447922006 165.87653968164727 167.16591511811853 584.4211602484584 1515.699913460564 26.43219824869506 77.31289251014465 56.010233076309845 81.92991421197846 107.76176868800526 80.99812443638737 41.96600688102714 454.1348116968779 57.7999491793387 243.22125361524576 84.87616604439835 95.20409661611892 2695.8098171429597 70.29586289472691 167.35611590058647 50.67239973305935 389.3684594696027 114.04446106108811 493.5182417468753 521.8435298682948 28.78959636923738 218.17558690619427
58829.33157407 1.236 124431.54938509234 123493.84515235893 587144.8551408248 2685058.715301641 16738.18863987463 53253.54953540099 38595.39335743291 56604.12907525955 76155.68128751602 56513.20338520029 31299.668691138446 415805.9869699876 38112.517191438295 190167.04967617046 58907.25903760857 66811.53610294411 7532700.894203841 48216.8617892302 122690.50149262114 32164.324885116657 342112.0922386419 78917.61631897464 420572.07550609537 502883.3256175228 19200.634120074683 143918.2437310507 170.04179175577383 168.8041935882025 587.4630013172283 1525.698759863707 25.510271141108735 78.03431541777587 57.51977174896952 82.30508601461749 108.79601474173099 82.34911282487406 47.16877967338844 457.430206085041 56.837459460313575 244.876866899194 85.92002558755944 96.45023730317764 2669.6271895978502 71.04309785890487 168.10932113370714 48.276512928547746 394.260039370471 119.42593377452661 496.9483140268982 525.9955179784854 29.325151720060166 215.70297672645881
58829.33394676 1.225 122700.5204431006 122681.12106199871 587392.9480726969 2669302.7959317327 17412.40544514783 53046.094083565404 37715.88581087795 56764.801308340975 76866.16588708019 56509.410102832364 27612.167763785168 416643.20127985603 37732.66665580828 188949.0349251937 58671.65912224789 66162.18182197993 7380397.146088946 47867.68790048105 122775.6777735129 34776.720485650934 342531.73854443105 69538.38075614313 413635.16887099965 503118.8323793129 18861.54528485262 142788.9601843867 168.45332957517724 168.24815315924522 588.6415116137936 1521.3371644527679 26.60746083592593 77.98483617808094 56.45610217392946 82.79281663791586 110.10299020553242 82.6069304214769 41.92619299019228 458.9546903067366 56.462751847050306 244.10423854426622 85.844956795384 95.83893773242298 2641.432539907256 70.79975170535448 168.71749509230136 52.37226247177318 395.37057770018475 105.53890916204618 489.553959479474 527.1382331048185 28.91371754257243 214.78804602840697
58829.33482639 1.221 122825.0179343936 123959.83021059004 587664.870238818 2635811.15400628 15607.0854395887 53126.69179994427 36699.079080502794 57680.96003231895 76911.60584385978 56880.70566868619 28595.613348747196 417510.7904952086 39152.50630943541 190975.1867808649 58306.62900843186 67236.50492166838 7160590.2462907685 48582.967390292964 123736.9450815217 32312.861570237845 342226.9351642697 76366.84863198776 420459.8959799105 504080.160345998 20361.02174710488 141549.02201478457 168.88372665141625 170.0694721948224 589.1536638685442 1510.9073403421846 23.952688725879764 78.23139205207596 55.06995322491627 84.22681686105246 110.34058955132514 83.2641386003961 43.46145204106219 460.1657425709657 58.61169214331364 246.72916592399676 85.4771068968744 97.4718749383365 2599.9199591639986 71.91446553901196 170.13107798389368 48.75839007952157 395.5926801436653 116.24275860228659 497.7071493786248 528.3238576537233 31.22859902413063 213.34318749481506
58829.3356713 1.217 123338.44855383411 124213.7679546997 587353.8263885016 2659404.1834030794 16565.698749204865 52348.3215674698 37969.66802269977 57350.30276697228 77708.58619708347 56202.470318847685 28601.948592605535 417519.78306663205 39018.58528079168 190981.90754103282 58030.72710852447 66855.10511405871 7084683.599403866 48121.62943731522 123897.38806046604 32792.212728674116 342295.56818622514 74366.04903555353 418006.92324019753 502967.98911412305 19246.393966034986 134650.4578941852 169.7056135220931 170.6210150338687 589.3432613118663 1518.90439966411 25.442570131005375 77.24639183945467 57.00185462379393 83.86083261284641 111.53762786930287 82.43334760625977 43.541568129247395 460.51871266362565 58.5070366958623 246.89622505092873 85.24380835121711 97.05393845156327 2585.6363772419836 71.38126105947876 170.55299233107112 49.580166034398395 395.8762287572017 113.193201537121 495.00950309043714 527.8739017772853 29.613230451728455 203.09085713122897
58829.3365162 1.214 122780.53882963257 123522.1212675692 589137.6382764103 2666832.8563269735 17043.641498409677 53581.0038240577 37250.91492129216 58602.53071515943 76342.06872210721 56049.81378564704 27427.474926189927 417675.73204389523 38250.5256668753 190947.35503434256 59122.3962677964 66820.11300231656 7164400.1262703985 48125.11822522024 122916.68305666483 34650.609851567424 342541.1570542043 73717.14479043597 417121.3997263619 503057.81577589177 19744.64324155287 143999.53822852462 169.24739191722958 169.88286533325913 590.9642992164913 1521.4422408999467 26.17383397139634 79.06529724260253 56.02440231179704 85.66076087966294 109.81079628450162 82.31066402194813 41.84082690799695 460.89734271634023 57.46730375379618 247.1247013923628 86.8237873296322 97.13325319466621 2601.0054451335423 71.45508119422712 169.54694073569215 52.36966320157459 396.51536538740345 112.3125282727264 494.37552412188967 528.1008345831643 30.38663132361325 217.56463662602206
58829.33736111 1.21 123416.51604929037 124599.14311181667 588665.8060437455 2648094.41692896 17832.75061868236 53135.534107934625 37003.37578452367 57898.103249596024 77174.70273161615 56565.057002300804 28006.452493130346 416814.87860540766 38787.33967066649 191102.46008078492 58398.65253984544 66335.67223269789 7406468.0927051185 48300.206161810434 123981.24537826591 34481.461619190464 342493.2149821417 73661.1419635808 417079.77969127346 505472.19859758083 19696.67151677393 140053.2720179287 170.1702590593381 171.43655215681846 590.9512794145753 1515.8071609057754 27.414693100357113 78.5364741484021 55.75582187606689 84.82521170600683 111.11190799739322 83.12452103182235 42.775649194259586 460.51632638867284 58.316861426109206 247.62527665191485 85.94895060290571 96.59746676970717 2647.3093575030766 71.81102598151297 171.06312412010337 52.16934922301916 396.7513057971796 112.37117922738165 494.6708934028335 530.4558500621615 30.369291121691322 211.93172560545852
58829.33820602 1.207 122181.34012894734 123704.99584209977 588521.695181244 2623355.0220182687 16657.430853530415 52986.31046772009 37960.3089588593 56774.829105030454 77297.7243080727 56379.373061586055 27528.551976329065 417478.7715958084 39500.18315949943 190552.83395206573 58934.96508464217 66481.13898487994 7040676.78898469 47559.34598558827 123946.72667398356 33125.334637747845 343416.1294675016 73322.1293467005 417594.9341873633 503634.3682182861 17465.064014070784 138161.630420562 168.87507499640074 170.54696410846861 591.247612421409 1508.044009203446 25.662234605321945 78.43400825464767 57.227481951698266 83.38649307383996 111.41605247757954 82.97380616520343 42.12110934380428 461.48050076769135 59.43464207348567 247.20865174739308 86.82614123282922 96.93949987774826 2577.5926056375715 70.85714440160689 171.18992055385172 50.239157977349024 398.02130629774496 112.13721170864767 495.3617808631129 529.4741148557289 26.991702534687818 209.19695997662868
58829.33905093 1.203 123403.14441364579 123331.85243498889 590392.4153583082 2677983.634443466 15707.143810758658 53502.380220162275 37374.13822307275 57643.80190348183 76659.57881526696 57845.45522858063 28536.436572447594 418738.5492713654 39532.134280834 191522.83768159442 58737.95533572236 66823.35826765856 6934606.435104925 47978.5104447552 123961.88843913615 34224.67230598896 343215.3422309815 73012.66120536887 418432.81779004686 505879.92327732226 19789.270072684332 137497.81649227714 170.55272822441094 170.21707304176476 592.8514354419239 1525.9795733346132 24.25896858337405 79.25939978917775 56.45016625263096 84.67377153198903 110.66977937006868 85.1442741762675 43.66433478782177 462.75748379847306 59.54629329721301 248.48749473694522 86.6386169002807 97.52305497975522 2557.4065036232046 71.56035953140986 171.41071162669715 51.92729940542329 398.01791996908884 111.84947076191021 496.64321871784034 531.446198868413 30.584152631857517 208.74580756673654
58829.33989583 1.2 123517.47748730436 124328.77164057898 590546.5454643399 2549331.9401027123 16721.616528836952 52549.022807109985 38274.59072751703 57739.10074979655 77368.78155048896 57011.16994912218 27616.59996030538 418660.47467719245 37729.61391584558 190245.78904613975 58987.4112864334 66398.8924475594 6715416.229459994 49126.53321713756 123800.70222078258 34210.8164206107 351173.72807006806 73241.95586992148 417452.1305188397 504195.93836310675 20071.596836289566 140345.24705347832 170.83452374322854 171.6731843607411 593.2902404808057 1484.252797900525 25.841645233764037 78.00396318412612 57.80795507188696 84.89367190412864 111.70699697511171 84.02968150554862 42.34815698694905 462.9424886459417 57.012177959920685 247.24999103436434 87.08306354197325 97.01738242428243 2514.2937167085147 73.23698480986342 171.35581376683726 51.98205809177783 405.36695617208113 112.19018746071274 495.8549804533674 530.3626980095278 31.040123034727184 213.12345032511817
58829.34074074 1.196 122880.71226743475 124580.90909637354 589129.0919476015 2662501.0944031063 17627.168694248656 52555.65896794287 37327.05523335404 57026.55172985257 76506.3282887807 56816.76642719348 28731.940577851026 418397.02149419097 38508.88824681338 191421.92641367204 58702.23963101697 66954.65628808085 7252343.209685036 48643.37295599212 123455.38756885222 32877.2897855796 342797.802191104 71900.49753616919 414836.59155012754 503111.16999009193 19170.978302185016 137156.4102311122 170.27279166037752 172.19845254063998 592.7573627199633 1521.6244948223027 27.239475315802288 78.12107359714639 56.5329255214289 84.04354556699924 110.75568617761638 83.93081355850151 44.07168649792688 463.20662558897845 58.22861590023274 248.88212690826325 86.8243769767404 97.92351128483699 2618.940777847873 72.66018384870183 171.16427898849383 50.10657513458004 398.2943603224202 110.30172138455139 493.6234681681315 529.9657986916878 29.732304580736525 208.55676908401833
